"id_object","object_type","object_subtype","inventory_number","provenience_detail","provenance_detail","id_dating","pharaonic_ruler","id_provenience","place","archaeological_site","archaeological_context","id_location","place","country","lat","lon","current_or_former_provenances","tomb_owner_title_ids","tomb_owner_titles_unicode"
938,"architectural element","wall-fragment","TN 3.7.24.12","The tomb is known from relief-decorated fragments now held in the Egyptian Museum Cairo. C. M. Zivie suggested the tomb formed part of a now-lost New Kingdom cemetery at Giza. N. Staring has proposed the Teti Pyramid Cemetery at Saqqara, where it would have stood amongst those of Ptahmay’s peers, see: N. Staring, ‘The Memphite Necropolis through the Amarna Period: A Study of Private Patronage, Transmission of Iconographic Motifs, and Scene Details’, in F. Coppens (ed.), Continuity, Discontinuity and Change: Perspectives from the New Kingdom to the Roman Era, Prague, 2021, pp. 37–41.",,14,"Amenhotep IV/ Akhenaten",171,"Saqqara","Teti-Cemetery","Tomb of Ptahmay",179,"Teti-Cemetery","Egypt","N 29°52'34.53""","E 31°13'18.61""","Egyptian Museum","88","ḥr.j jr.ww nbw pꜣq n pr Jtn"
939,"architectural element","wall-fragment","TN 5.7.24.8","The tomb is known from relief-decorated fragments now held in the Egyptian Museum Cairo. C. M. Zivie suggested the tomb formed part of a now-lost New Kingdom cemetery at Giza. N. Staring has proposed the Teti Pyramid Cemetery at Saqqara, where it would have stood amongst those of Ptahmay’s peers, see: N. Staring, ‘The Memphite Necropolis through the Amarna Period: A Study of Private Patronage, Transmission of Iconographic Motifs, and Scene Details’, in F. Coppens (ed.), Continuity, Discontinuity and Change: Perspectives from the New Kingdom to the Roman Era, Prague, 2021, pp. 37–41.",,14,"Amenhotep IV/ Akhenaten",171,"Saqqara","Teti-Cemetery","Tomb of Ptahmay",179,"Teti-Cemetery","Egypt","N 29°52'34.53""","E 31°13'18.61""","Egyptian Museum","88","ḥr.j jr.ww nbw pꜣq n pr Jtn"
339,"stela","falsedoor-stela","JE 10174","excavated in Saqqara in april 1860","CG 34182",14,"Amenhotep IV/ Akhenaten",181,"Saqqara","Teti-Cemetery","Tomb of Huy",170,"Tomb of Huy (230/TPC)","Egypt","N 29°52'34.26""","31°13'19.90""","Egyptian Museum","154","ḥr.j šwjj.tj n tꜣ ḥw.t pꜣ Jtn"
408,"architectural element","wall-fragment","MCA-EGI-EG_1893",,"formerly P. Palagi collection (1860).",14,"Amenhotep IV/ Akhenaten",,,,,,,,,,"Collection of Pelagio Palagi; Museo Civico Archeologico",,
34,"statue","bloc statue","ÄM 31199",,"purchased from H. Herzer & Co. in 1965",14,"Amenhotep IV/ Akhenaten",,,,,,,,,,"Ägyptisches Museum und Papyrussammlung",,
242,"stela","falsedoor-stela","BM EA 324",,"formerly Anastasi collection (1839)",14,"Amenhotep IV/ Akhenaten",,,,,,,,,,"British Museum; Collection of Giovanni Anastasi",,
427,"(tomb) equipment","shabti","49.29",,"formerly collection of Comte de Clarac (1843)",14,"Amenhotep IV/ Akhenaten",,,,,,,,,,"Collection of Comte de Clarac; Musée Georges Labit",,
1449,"architectural element","wall-fragment","JE 44925","Discovered by J. E. Quibell and A. G. K. Hayter (1912–14)",,15,"Amenhotep IV/ Akhenaten–Tutankhamun",72,"Saqqara","Teti-Cemetery","Tomb of Merya",158,"Tomb of Merya (220/TPC)","Egypt","N 29°52'34.40""","E 31°13'17.88""","Egyptian Museum","583","šwjj.tj"
205,"architectural element","wall-fragment","JE 44926–44928","Discovered by J. E. Quibell and A. G. K. Hayter (1912–14)","TN 29.6.24.9, TN 27.6.24.5, TN 3.7.24.2, TN 25.6.24.4, TN 25.6.24.5, TN 3.7.24.6",15,"Amenhotep IV/ Akhenaten–Tutankhamun",72,"Saqqara","Teti-Cemetery","Tomb of Merya",158,"Tomb of Merya (220/TPC)","Egypt","N 29°52'34.40""","E 31°13'17.88""","Egyptian Museum","583","šwjj.tj"
1450,"architectural element","wall-fragment","JE 44930","Discovered by J. E. Quibell and A. G. K. Hayter (1912–14)",,15,"Amenhotep IV/ Akhenaten–Tutankhamun",72,"Saqqara","Teti-Cemetery","Tomb of Merya",158,"Tomb of Merya (220/TPC)","Egypt","N 29°52'34.40""","E 31°13'17.88""","Egyptian Museum","583","šwjj.tj"
2100,"architectural unit","tomb","220/TPC, S 2727 (Quibell)","Discovered by J. E. Quibell and A. G. K. Hayter (1912–14), SCA mission",,15,"Amenhotep IV/ Akhenaten–Tutankhamun",72,"Saqqara","Teti-Cemetery","Tomb of Merya",158,"Tomb of Merya (220/TPC)","Egypt","N 29°52'34.40""","E 31°13'17.88""",,"583","šwjj.tj"
724,"architectural element","column","ÄM 1627","found by C. R. Lepsius in 1845, chapel B, Porticus",,15,"Amenhotep IV/ Akhenaten–Tutankhamun",84,"Saqqara","Unas-Cemetery","Tomb of Iniuia",151,"Tomb of Iniuia (009/USC)","Egypt","N 29°51'57.4""","E 31°13'01.2""","Ägyptisches Museum und Papyrussammlung","258; 335; 575; 662; 683; 840; 967","jm.j-rʾ jḥ.w n Jmn; jm.j-rʾ pr m Mn-nfr; jm.j-rʾ pr wr m Mn-nfr; sẖꜣ.w nsw; sẖꜣ.w pr ḥḏ n ḥḏ nbw n nb tꜣ.wj; sẖꜣ.w pr ḥḏ n nb tꜣ.wj; sšm.w ḥꜣb n nb Mꜣꜥ.t"
725,"architectural element","column","ÄM 1628","found by C. R. Lepsius in 1845, chapel B, Porticus",,15,"Amenhotep IV/ Akhenaten–Tutankhamun",84,"Saqqara","Unas-Cemetery","Tomb of Iniuia",151,"Tomb of Iniuia (009/USC)","Egypt","N 29°51'57.4""","E 31°13'01.2""","Ägyptisches Museum und Papyrussammlung","258; 335; 575; 662; 683; 840; 967","jm.j-rʾ jḥ.w n Jmn; jm.j-rʾ pr m Mn-nfr; jm.j-rʾ pr wr m Mn-nfr; sẖꜣ.w nsw; sẖꜣ.w pr ḥḏ n ḥḏ nbw n nb tꜣ.wj; sẖꜣ.w pr ḥḏ n nb tꜣ.wj; sšm.w ḥꜣb n nb Mꜣꜥ.t"
